,Name,Yr,Pos,G,Sacks,Sack Yards,Sacks/G
1,Ndamukong Suh,SR,DT,14,12,77,0.86
2,Jared Crick,SO,DT,14,9.5,57,0.68
3,Barry Turner,SR,DE,14,5.5,39,0.39
4,Pierre Allen,JR,DE,14,5,43,0.36
5,Phillip Dillard,SR,LB,12,3,27,0.25
6,Eric Hagg,JR,S,14,2,22,0.14
7,Matt O'Hanlon,SR,S,14,2,19,0.14
8,Prince Amukamara,JR,CB,14,2,11,0.14
9,Cameron Meredith,FR,DE,14,1.5,12,0.11
10,Sean Fisher,FR,LB,14,1,3,0.07
11,Will Compton,FR,LB,13,0.5,2,0.04
,Total,,,14,44,312,3.14
,Opponents,,,14,19,121,1.36
